País,IDH 2014
Noruega,944
Austrália,935
Suíça,930
Dinamarca,923
Países Baixos,922
Alemanha,916
Irlanda,916
Estados Unidos,915
Canadá,913
Nova Zelândia,913
Singapura,912
"Hong Kong, China (SAR)",910
Liechtenstein,908
Suécia,907
Reino Unido,907
Islândia,899
Coreia (República da),898
Israel,894
Luxemburgo,892
Japão,891
Bélgica,890
França,888
Áustria,885
Finlândia,883
Eslovênia,880
Espanha,876
Itália,873
República Tcheca,870
Grécia,865
Estônia,861
Brunei Darussalam,856
Chipre,850
Qatar,850
Andorra,845
Eslováquia,844
Polônia,843
Lituânia,839
Malta,839
Arábia Saudita,837
Argentina,836
Emirados Árabes Unidos,835
Chile,832
Portugal,830
Hungria,828
Bahrein,824
Letônia,819
Croácia,818
Kuwait,816
Montenegro,802
Belarus,798
Federação Russa,798
Omã,793
Romênia,793
Uruguai,793
Bahamas,790
Cazaquistão,788
Barbados,785
Antígua e Barbuda,783
Bulgária,782
Palau,780
Panamá,780
Malásia,779
Maurício,777
Seicheles,772
Trinidade e Tobago,772
Sérvia,771
Cuba,769
Líbano,769
Costa Rica,766
Irã (República Islâmica do),766
Venezuela (República Bolivariana da),762
Turquia,761
Sri Lanka,757
México,756
Brasil,755
Geórgia,754
São Cristóvão e Nevis,752
Azerbaijão,751
Granada,750
Jordânia,748
Antiga República Iugoslava da Macedônia,747
Ucrânia,747
Argélia,736
Peru,734
Albânia,733
Armênia,733
Bósnia-Herzegovina,733
Equador,732
Santa Lúcia,729
China,727
Fiji,727
Mongólia,727
Tailândia,726
Dominica,724
Líbia,724
Tunísia,721
Colômbia,720
São Vicente e Granadinas,720
Jamaica,719
Tonga,717
Belize,715
República Dominicana,715
Suriname,714
Maldivas,706
Samoa,702
Botswana,698
Moldávia (República da),693
Egito,690
Turcomenistão,688
Gabão,684
Indonésia,684
Paraguai,679
"Palestina, Estado da",677
Uzbequistão,675
Filipinas,668
El Salvador,666
África do Sul,666
Vietnã,666
Bolívia (Estado Plurinacional da),662
Quirquistão,655
Iraque,654
Cabo Verde,646
Micronésia (Estados Federados da),640
Guiana,636
Nicarágua,631
Marrocos,628
Namíbia,628
Guatemala,627
Tajiquistão,624
Índia,609
Honduras,606
Butão,605
Timor-Leste,595
"Síria, República Árabe da",594
Vanuatu,594
Congo,591
Quiribati,590
Guiné Equatorial,587
Zâmbia,586
Gana,579
"Laos, República Democrática Popular do",575
Bangladesh,570
Camboja,555
São Tomé e Príncipe,555
Quênia,548
Nepal,548
Paquistão,538
Mianmar,536
Angola,532
Suazilândia,531
Tanzânia (República Unida da),521
Nigéria,514
Camarões,512
Madagascar,510
Zimbabué,509
Mauritânia,506
Ilhas Salomão,506
Papua-Nova Guiné,505
Comores,503
Iêmen,498
Lesoto,497
Togo,484
Haiti,483
Ruanda,483
Uganda,483
Benin,480
Sudão,479
Djibouti,470
Sudão do Sul,467
Senegal,466
Afeganistão,465
Costa do Marfim,462
Malaui,445
Etiópia,442
Gâmbia,441
Congo (República Democrática do),433
Libéria,430
Guinea-Bissau,420
Mali,419
Moçambique,416
Serra Leoa,413
Guiné Equatorial,411
Burkina Faso,402
Burundi,400
Chade,392
Eritrea,391
República Centro Africana,350
Níger,348
